epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,9447.69,1.02997,0.87072,1.28072,0.80456,0.77115,0.80324,0.55463,1.12071,0.97372,1.29332,0.004555,0.004555,0.004555
57,9613.57,1.02187,0.85793,1.27163,0.80107,0.76993,0.80232,0.55443,1.11783,0.97414,1.29168,0.004456,0.004456,0.004456
58,9779.55,1.01692,0.85969,1.27514,0.80088,0.76664,0.80143,0.55437,1.11608,0.97312,1.29156,0.004357,0.004357,0.004357
59,9945.07,1.01794,0.85688,1.27375,0.792,0.77588,0.80241,0.55448,1.11512,0.96831,1.29024,0.004258,0.004258,0.004258
60,10110.7,1.01018,0.85397,1.27159,0.78935,0.77438,0.80184,0.55641,1.11101,0.96665,1.28809,0.004159,0.004159,0.004159
61,10276.5,1.00665,0.84517,1.26538,0.78887,0.7734,0.8034,0.55723,1.11091,0.963,1.28797,0.00406,0.00406,0.00406
62,10442.6,1.01181,0.85161,1.27223,0.78286,0.78461,0.80391,0.55789,1.11046,0.96265,1.2859,0.003961,0.003961,0.003961
63,10608.5,1.00576,0.83993,1.26511,0.78475,0.78527,0.80472,0.55899,1.11052,0.96206,1.28559,0.003862,0.003862,0.003862
64,10774.3,0.9955,0.83371,1.25754,0.77683,0.79067,0.80445,0.55894,1.10836,0.96162,1.28446,0.003763,0.003763,0.003763
65,10940,0.99771,0.83089,1.2602,0.78477,0.7797,0.80382,0.55814,1.10805,0.95936,1.28403,0.003664,0.003664,0.003664
66,11105.7,0.99234,0.82622,1.25936,0.78831,0.78372,0.8044,0.55791,1.10834,0.95818,1.28412,0.003565,0.003565,0.003565
67,11271,0.98671,0.81999,1.25486,0.79569,0.77466,0.80405,0.55781,1.10733,0.9584,1.28395,0.003466,0.003466,0.003466
68,11436.9,0.98981,0.814,1.25278,0.79997,0.77248,0.80376,0.55718,1.1061,0.95687,1.28276,0.003367,0.003367,0.003367
69,11603,0.9882,0.81372,1.2511,0.79844,0.7721,0.80408,0.55665,1.10579,0.95727,1.28166,0.003268,0.003268,0.003268
70,11768.6,0.98206,0.81542,1.25085,0.80647,0.77175,0.80478,0.55806,1.10568,0.95614,1.2815,0.003169,0.003169,0.003169
71,11934.2,0.97663,0.80971,1.24916,0.79935,0.77328,0.8049,0.55759,1.10564,0.95501,1.28128,0.00307,0.00307,0.00307
72,12099.8,0.98243,0.80718,1.24919,0.79873,0.7733,0.80527,0.55744,1.10434,0.9534,1.28018,0.002971,0.002971,0.002971
73,12264.8,0.9758,0.80228,1.24643,0.80066,0.77352,0.80503,0.55757,1.10352,0.95332,1.27962,0.002872,0.002872,0.002872
74,12430.6,0.9751,0.79693,1.24481,0.80118,0.77236,0.80513,0.55836,1.10286,0.95332,1.27926,0.002773,0.002773,0.002773
75,12596.2,0.97008,0.79339,1.24176,0.79933,0.77589,0.80513,0.55811,1.10218,0.9529,1.27817,0.002674,0.002674,0.002674
76,12761.8,0.96205,0.78624,1.24275,0.79931,0.77645,0.80523,0.55821,1.10185,0.95282,1.27775,0.002575,0.002575,0.002575
77,12928.7,0.97037,0.79225,1.24117,0.8002,0.77625,0.80444,0.55745,1.10123,0.95226,1.27669,0.002476,0.002476,0.002476
78,13096.4,0.96036,0.77469,1.23436,0.80333,0.77247,0.8047,0.55758,1.1008,0.95211,1.27659,0.002377,0.002377,0.002377
79,13262.1,0.95644,0.78356,1.23498,0.80377,0.77385,0.80514,0.55879,1.1009,0.95153,1.27664,0.002278,0.002278,0.002278
80,13427.8,0.94814,0.77173,1.23113,0.80203,0.77533,0.80541,0.55934,1.10137,0.95183,1.2772,0.002179,0.002179,0.002179
81,13593.6,0.94781,0.76869,1.22981,0.79986,0.77617,0.80638,0.55989,1.10075,0.95165,1.27609,0.00208,0.00208,0.00208
82,13759.7,0.94363,0.76672,1.22404,0.79886,0.77704,0.80562,0.5598,1.10132,0.9509,1.27629,0.001981,0.001981,0.001981
83,13925.9,0.94096,0.75227,1.21884,0.80008,0.77711,0.80597,0.5598,1.10152,0.95067,1.2764,0.001882,0.001882,0.001882
84,14092.2,0.93716,0.75059,1.21905,0.79711,0.78038,0.80643,0.55985,1.10127,0.9511,1.27616,0.001783,0.001783,0.001783
85,14258.2,0.93619,0.74779,1.21779,0.79681,0.78084,0.80677,0.5604,1.10118,0.94982,1.27611,0.001684,0.001684,0.001684
86,14423.6,0.93194,0.74843,1.21786,0.797,0.78239,0.80715,0.56099,1.10075,0.94984,1.27572,0.001585,0.001585,0.001585
87,14589.6,0.92315,0.7381,1.21439,0.80336,0.77795,0.80681,0.56124,1.10029,0.94988,1.27525,0.001486,0.001486,0.001486
88,14755.6,0.92649,0.74041,1.21401,0.80376,0.77812,0.80772,0.56178,1.10047,0.94884,1.27528,0.001387,0.001387,0.001387
89,14921.6,0.92521,0.73499,1.21065,0.79638,0.78992,0.80817,0.56201,1.10025,0.94825,1.27484,0.001288,0.001288,0.001288
90,15086.9,0.92142,0.73231,1.20935,0.79983,0.78901,0.80858,0.5627,1.09944,0.9481,1.27414,0.001189,0.001189,0.001189
91,15274.9,0.96741,0.63795,1.28204,0.80158,0.78851,0.80922,0.56316,1.09943,0.9475,1.27399,0.00109,0.00109,0.00109
92,15438.1,0.95534,0.61899,1.26795,0.80694,0.7835,0.80882,0.56341,1.09864,0.94626,1.27325,0.000991,0.000991,0.000991
93,15601.2,0.94699,0.60851,1.26109,0.80282,0.78716,0.80951,0.56365,1.09825,0.94512,1.27295,0.000892,0.000892,0.000892
94,15764.1,0.94,0.59827,1.26352,0.80639,0.7841,0.81111,0.56414,1.09855,0.94391,1.2732,0.000793,0.000793,0.000793
95,15927.2,0.92947,0.5917,1.25023,0.80683,0.78349,0.81162,0.56459,1.09873,0.94251,1.27378,0.000694,0.000694,0.000694
96,16090.3,0.92551,0.58792,1.25089,0.80655,0.7835,0.81157,0.56458,1.09828,0.94138,1.27354,0.000595,0.000595,0.000595
97,16253.3,0.91952,0.57971,1.24444,0.81181,0.7818,0.81214,0.5648,1.09798,0.94145,1.27316,0.000496,0.000496,0.000496
98,16416.5,0.91636,0.57736,1.23827,0.81796,0.78042,0.81183,0.5646,1.09793,0.94094,1.27314,0.000397,0.000397,0.000397
99,16579.7,0.91157,0.57189,1.23855,0.81501,0.77993,0.81131,0.56498,1.09777,0.94002,1.27305,0.000298,0.000298,0.000298
100,16742.9,0.90415,0.56661,1.23318,0.81494,0.77982,0.81027,0.56476,1.09768,0.93876,1.27302,0.000199,0.000199,0.000199
